Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A758102,Jojo,9/11/2017 13:41,9/11/2017 13:41,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,4 months,Domestic Shorthair Mix,Brown Tabby/Tortie
A758106,,9/11/2017 13:55,9/11/2017 13:55,Briarcreek Loop in Manor (TX),Stray,Normal,Cat,Intact Male,3 months,Domestic Shorthair Mix,Cream Tabby/White
A758103,,9/11/2017 13:58,9/11/2017 13:58,3500 Webberville Apt 3302 in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Miniature Pinscher Mix,Brown
A758138,210,9/11/2017 14:01,9/11/2017 14:01,Outside Jurisdiction,Public Assist,Normal,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle
A758113,*Cassidy,9/11/2017 14:16,9/11/2017 14:16,1711 Rutland Dr in Austin (TX),Stray,Normal,Dog,Intact Female,7 months,Labrador Retriever Mix,Black/White
A758114,*Libby,9/11/2017 14:22,9/11/2017 14:22,127 Bolles Circle in Austin (TX),Stray,Normal,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Brown Tabby
A758115,Rose,9/11/2017 14:22,9/11/2017 14:22,127 Bolles Circle in Austin (TX),Stray,Normal,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
A758117,Malcolm,9/11/2017 14:38,9/11/2017 14:38,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Orange Tabby/White
A758116,,9/11/2017 14:42,9/11/2017 14:42,5608 Abby Ann Lane in Austin (TX),Stray,Normal,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Blue Tabby
A587986,Ranger Rick,9/11/2017 14:59,9/11/2017 14:59,1156 W Cesar Chavez in Austin (TX),Public Assist,Normal,Dog,Neutered Male,7 years,Pit Bull/German Shepherd,Brown/Red
A758119,Brandy,9/11/2017 15:30,9/11/2017 15:30,5701 Johnny Morris Road in Austin (TX),Public Assist,Normal,Cat,Intact Female,5 months,Domestic Medium Hair Mix,Black/White
A758127,Bhakti,9/11/2017 16:06,9/11/2017 16:06,Braker And Interstate 35 in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Chihuahua Shorthair Mix,White/Tan
A758124,207,9/11/2017 16:13,9/11/2017 16:13,Outside Jurisdiction,Public Assist,Normal,Dog,Neutered Male,1 year,Pointer Mix,Brown/White
A758125,,9/11/2017 16:26,9/11/2017 16:26,1188 Airport Blvd in Austin (TX),Stray,Normal,Cat,Intact Female,5 months,Domestic Shorthair Mix,Brown Tabby/White
A758126,Mystica,9/11/2017 16:28,9/11/2017 16:28,10209 812 Rd in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Rottweiler Mix,Black/Brown
A758128,93,9/11/2017 16:31,9/11/2017 16:31,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Male,1 year,Pit Bull Mix,Brown/White
A758129,98,9/11/2017 16:40,9/11/2017 16:40,Outside Jurisdiction,Public Assist,Normal,Dog,Neutered Male,1 year,Pit Bull Mix,Brown/White
A753351,*Charming,9/11/2017 16:48,9/11/2017 16:48,2501 Wickersham Lane in Austin (TX),Stray,Normal,Dog,Neutered Male,1 year,Pit Bull Mix,Fawn/White
A758131,96,9/11/2017 16:54,9/11/2017 16:54,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Male,1 year,Pit Bull Mix,Black Brindle/White
A758134,,9/11/2017 17:01,9/11/2017 17:01,5500 Ross Road in Del Valle (TX),Stray,Normal,Cat,Unknown,1 week,American Shorthair Mix,Gray Tabby/White
A758132,97,9/11/2017 17:06,9/11/2017 17:06,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Male,1 year,German Shepherd Mix,Black/Brown
A758133,91,9/11/2017 17:10,9/11/2017 17:10,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Male,1 year,Catahoula Mix,Brown Brindle/White
A758135,999,9/11/2017 17:20,9/11/2017 17:20,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Female,1 year,Black Mouth Cur Mix,Brown/White
A758136,,9/11/2017 17:24,9/11/2017 17:24,1300 Crossing Place in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,Pointer Mix,Black/White
A758137,168,9/11/2017 17:39,9/11/2017 17:39,Outside Jurisdiction,Public Assist,Normal,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Black
