Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A757259,Bentley,9/1/2017 7:57,9/1/2017 7:57,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Male,1 year,Pit Bull Mix,Brown/White
A757260,Grumpy Gus,9/1/2017 8:06,9/1/2017 8:06,Austin (TX),Stray,Normal,Dog,Intact Male,5 years,Labrador Retriever Mix,Red/Tan
A757268,92,9/1/2017 8:08,9/1/2017 8:08,Outside Jurisdiction,Public Assist,Sick,Dog,Intact Female,8 years,Pit Bull Mix,White/Brown
A757270,,9/1/2017 9:49,9/1/2017 9:49,3129 E 12Th St in Austin (TX),Stray,Sick,Cat,Spayed Female,10 years,Domestic Shorthair Mix,Black
A757271,*Bruno,9/1/2017 10:24,9/1/2017 10:24,1211 Montopolis Drive in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue
A757272,,9/1/2017 10:41,9/1/2017 10:41,8011 Beckett Rd in Austin (TX),Stray,Injured,Cat,Unknown,2 years,Domestic Longhair Mix,White/Brown
A757274,*Ella,9/1/2017 11:08,9/1/2017 11:08,5201 Purple Sage in Travis (TX),Stray,Normal,Dog,Intact Female,1 year,Staffordshire Mix,Blue/White
A757285,*Sampson,9/1/2017 11:17,9/1/2017 11:17,3100 Beverly in Austin (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby
A757278,*Stella,9/1/2017 11:17,9/1/2017 11:17,3100 Beverly in Austin (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby
A757284,*Stewie,9/1/2017 11:17,9/1/2017 11:17,3100 Beverly in Austin (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair Mix,Blue Tabby
A757277,*Sal,9/1/2017 11:17,9/1/2017 11:17,3100 Beverly in Austin (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black
A757279,*Crouton,9/1/2017 11:30,9/1/2017 11:30,Spicewood And Mesa in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Australian Cattle Dog/Dalmatian,White/Black
A757280,,9/1/2017 11:46,9/1/2017 11:46,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White
A757282,,9/1/2017 11:46,9/1/2017 11:46,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby/White
A757281,,9/1/2017 11:46,9/1/2017 11:46,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue/White
A757283,,9/1/2017 12:02,9/1/2017 12:02,Stassney And South Congress in Austin (TX),Stray,Normal,Dog,Intact Male,6 months,German Shepherd Mix,Brown/White
A756473,,9/1/2017 12:17,9/1/2017 12:17,Outside Jurisdiction,Owner Surrender,Normal,Dog,Spayed Female,2 months,Labrador Retriever/Doberman Pinsch,Tan
A757289,Hazel,9/1/2017 12:36,9/1/2017 12:36,200 San Jose Street in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,Australian Terrier Mix,Red
A757288,,9/1/2017 12:36,9/1/2017 12:36,200 San Jose St in Austin (TX),Stray,Normal,Dog,Intact Male,2 months,Australian Terrier Mix,Tan
A757291,Cato,9/1/2017 12:38,9/1/2017 12:38,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Black/White
A757290,Roxie,9/1/2017 12:38,9/1/2017 12:38,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Tortie
A757298,*Tiger,9/1/2017 12:58,9/1/2017 12:58,2614 East 2Nd Street in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Longhair Mix,Brown Tabby
A757295,*Summer,9/1/2017 12:58,9/1/2017 12:58,2614 East 2Nd Street in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Longhair Mix,Brown Tabby
A757297,*Sarge,9/1/2017 12:58,9/1/2017 12:58,2614 East 2Nd Street in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Longhair Mix,Brown Tabby
A757293,*Golden,9/1/2017 12:58,9/1/2017 12:58,2614 East 2Nd Street in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Longhair Mix,Brown Tabby
A757292,Chloe,9/1/2017 13:03,9/1/2017 13:03,Manor (TX),Owner Surrender,Normal,Dog,Intact Female,4 years,Dachshund Mix,Buff
A757294,*Chloe,9/1/2017 13:11,9/1/2017 13:11,2311 South 5Th Street in Austin (TX),Stray,Normal,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Tortie
A757296,Sylvester,9/1/2017 13:11,9/1/2017 13:11,2311 South 5Th Street in Austin (TX),Stray,Normal,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Black/White
A757300,Fred,9/1/2017 13:23,9/1/2017 13:23,Springdale And Basswod Lane in Austin (TX),Stray,Normal,Dog,Neutered Male,13 years,Lhasa Apso Mix,Black
A757302,,9/1/2017 13:35,9/1/2017 13:35,1308 March Drive in Austin (TX),Stray,Sick,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby
A757303,,9/1/2017 13:35,9/1/2017 13:35,1308 March Drive in Austin (TX),Stray,Sick,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby
A757305,,9/1/2017 13:35,9/1/2017 13:35,1308 March Drive in Austin (TX),Stray,Sick,Cat,Intact Male,2 weeks,Domestic Longhair Mix,Brown Tabby
A757307,,9/1/2017 14:08,9/1/2017 14:08,1405 Springdale Avenue in Austin (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Calico
A756921,Yoonior,9/1/2017 14:22,9/1/2017 14:22,1416 Edgewater in Travis (TX),Public Assist,Normal,Dog,Intact Male,11 months,Queensland Heeler/Labrador Retriever,Red Merle/White
A757310,*Sofia,9/1/2017 14:29,9/1/2017 14:29,1156 West Cesar Chavez in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby
A757379,R3,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Other,Intact Male,2 years,Rabbit Sh Mix,Black/White
A757361,34,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Spayed Female,2 years,Dachshund Longhair Mix,Black
A757360,33,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Male,2 years,Chihuahua Longhair Mix,Black/White
A757375,Lion,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Neutered Male,2 years,Border Collie Mix,White/Black
A757383,R6,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Other,Intact Male,2 years,Rabbit Lh Mix,Black
A757357,31,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Male,2 years,Pit Bull Mix,Tan/White
A757341,19,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Female,2 years,Labrador Retriever Mix,Black/White
A757380,R4,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Other,Intact Female,2 years,Rabbit Sh Mix,Black/White
A757352,27,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Female,2 years,Pit Bull Mix,Brown Brindle
A757349,24,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Unknown,2 years,Golden Retriever Mix,Red
A757366,38,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Female,2 years,Labrador Retriever Mix,Black
A757329,11,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Male,3 years,Anatol Shepherd Mix,Brown Brindle
A757363,36,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Female,2 years,Pit Bull Mix,Tan/White
A757388,R9,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Other,Intact Male,2 years,Lop-English Mix,Orange
A757334,14,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Female,2 years,Pit Bull Mix,Blue/White
A757326,9,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Female,2 years,Pit Bull Mix,Black/White
A757387,R8,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Other,Intact Female,2 years,Rabbit Lh Mix,White
A757318,5,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Neutered Male,2 years,Labrador Retriever Mix,Red
A757333,13,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Male,2 years,Pit Bull Mix,Tan/White
A757389,R10,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Other,Intact Female,2 years,Lop-English Mix,Black
A757346,21,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Female,2 years,Labrador Retriever Mix,Black
A757351,26,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Male,2 years,Pit Bull Mix,Brown Brindle
A757347,22,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Female,2 years,Labrador Retriever Mix,Black
A757316,Mocha,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Female,11 months,Border Collie Mix,Black/White
A757336,15,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Female,2 years,Labrador Retriever Mix,Black/White
A757321,6,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Male,3 years,Great Pyrenees Mix,White/Black
A757374,47,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Male,4 months,Carolina Dog Mix,Tan
A757314,1,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Male,2 years,Labrador Retriever Mix,Black/White
A757339,17,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Female,3 years,Labrador Retriever Mix,Black/White
A757317,4,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Female,2 years,Border Collie Mix,Black/White
A757378,R2,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Other,Intact Female,2 years,Rabbit Sh Mix,Black
A757367,39,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Female,2 years,German Shepherd Mix,Sable
A757354,29,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Female,2 years,Pit Bull Mix,Red/White
A757364,37,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Female,4 years,American Staffordshire Terrier Mix,Brown Brindle/White
A757355,30,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Male,2 years,Catahoula Mix,Brown Merle
A757382,R5,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Other,Intact Male,2 years,Rabbit Sh Mix,Black/White
A757368,40,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Male,2 years,Pit Bull Mix,White
A757331,12,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Female,2 years,Queensland Heeler Mix,Black/White
A757372,44,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black/Tan
A757377,R1,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Other,Intact Male,2 years,Rabbit Sh Mix,Black/White
A757371,43,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Spayed Female,3 years,Labrador Retriever Mix,Chocolate
A757373,46,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Female,4 months,Carolina Dog Mix,Tan
A757325,8,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Female,2 years,Catahoula Mix,White/Brown Merle
A757343,20,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Neutered Male,2 years,Pit Bull Mix,Tan/White
A757359,32,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle
A757362,035 Jojo,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Male,2 years,Labrador Retriever Mix,Black
A757356,030B,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Male,2 years,Labrador Retriever Mix,Black
A757348,23,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Female,2 years,Labrador Retriever Mix,Black/White
A757369,41,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Male,2 years,German Shepherd Mix,Black/Tan
A757370,42,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Male,3 years,German Shepherd Mix,Tricolor
A757323,7,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Female,2 years,Carolina Dog Mix,Tan/Black
A757340,18,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Female,3 years,Labrador Retriever Mix,Brown/White
A757353,28,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Female,3 years,Dachshund Wirehair,Black/White
A757315,Shelby,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Female,2 years,Border Collie Mix,Black/White
A757328,10,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Spayed Female,2 years,Anatol Shepherd Mix,Brown Brindle
A757350,25,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Male,2 years,Pit Bull Mix,Red/White
A757337,16,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Male,3 years,Chihuahua Longhair Mix,Brown/White
A757385,R7,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Other,Intact Male,2 years,Lop-English Mix,White
A757358,025B,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Female,2 years,Labrador Retriever Mix,Black
A757308,50,9/1/2017 14:50,9/1/2017 14:50,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Female,1 year,Pit Bull Mix,Brown
A757309,56,9/1/2017 14:53,9/1/2017 14:53,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Female,1 year,Labrador Retriever Mix,Brown
A757306,49,9/1/2017 14:55,9/1/2017 14:55,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Male,2 years,Pit Bull Mix,Black/White
A757319,52,9/1/2017 14:58,9/1/2017 14:58,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Female,1 year,Pointer Mix,Tan/White
A757322,53,9/1/2017 15:07,9/1/2017 15:07,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Male,3 years,Pit Bull Mix,Tan
A757324,54,9/1/2017 15:12,9/1/2017 15:12,Outside Jurisdiction,Public Assist,Normal,Dog,Spayed Female,6 months,Rottweiler Mix,Black/Tan
A757327,58,9/1/2017 15:18,9/1/2017 15:18,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Male,1 year,Labrador Retriever Mix,Black
A757332,59,9/1/2017 15:23,9/1/2017 15:23,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Male,1 year,Pit Bull Mix,Black
A757335,60,9/1/2017 15:27,9/1/2017 15:27,Outside Jurisdiction,Public Assist,Normal,Dog,Neutered Male,1 year,Australian Cattle Dog Mix,Brown Brindle/White
A757330,Tina,9/1/2017 15:29,9/1/2017 15:29,7711 Burnet Rd in Austin (TX),Public Assist,Normal,Dog,Intact Female,2 years,Boxer/Staffordshire,Brown/White
A757338,65,9/1/2017 15:31,9/1/2017 15:31,Outside Jurisdiction,Public Assist,Normal,Dog,Neutered Male,5 years,Labrador Retriever Mix,White
A757345,*Schultz,9/1/2017 15:37,9/1/2017 15:37,Outside Jurisdiction,Public Assist,Normal,Cat,Intact Male,1 year,Domestic Shorthair Mix,Black
A757344,*Rocky,9/1/2017 15:37,9/1/2017 15:37,Outside Jurisdiction,Public Assist,Normal,Cat,Intact Male,1 year,Domestic Shorthair Mix,Brown Tabby
A757342,*Tippi,9/1/2017 15:37,9/1/2017 15:37,Outside Jurisdiction,Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby
A757376,Princess,9/1/2017 16:49,9/1/2017 16:49,6807 Blue Dawn Trl in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Miniature Schnauzer/Dachshund Wirehair,Silver/Cream
A757384,Oliver,9/1/2017 16:49,9/1/2017 16:49,6807 Blue Dawn Trl in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Miniature Schnauzer/Dachshund,Brown Brindle
A757381,Gorda,9/1/2017 16:49,9/1/2017 16:49,6807 Blue Dawn Trl in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,Miniature Schnauzer/Dachshund Wirehair,Cream
A757386,Cocketa,9/1/2017 16:49,9/1/2017 16:49,6807 Blue Dawn Trl in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Miniature Schnauzer/Dachshund Wirehair,Brown Brindle
A757149,Blue,9/1/2017 16:55,9/1/2017 16:55,Austin (TX),Public Assist,Normal,Dog,Intact Male,1 year,Staffordshire Mix,Blue/Gray
A661788,Taz,9/1/2017 17:05,9/1/2017 17:05,Austin (TX),Public Assist,Normal,Dog,Neutered Male,6 years,Staffordshire Mix,Black/White
A757390,,9/1/2017 17:10,9/1/2017 17:10,Matthews Lane And Manchaca Road in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Yorkshire Terrier Mix,Tan/Black
A756164,*Snow,9/1/2017 17:32,9/1/2017 17:32,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Labrador Retriever Mix,White
A757391,Maximillian,9/1/2017 17:39,9/1/2017 17:39,307 Sheffield in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Chihuahua Shorthair/Norfolk Terrier,Tan
A753576,Nala,9/1/2017 18:00,9/1/2017 18:00,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,5 months,Labrador Retriever Mix,Brown/White
A757392,,9/1/2017 18:18,9/1/2017 18:18,East 7Th And Robert E Martinez in Austin (TX),Stray,Injured,Bird,Intact Female,1 year,Grackle Mix,Black
A757395,,9/1/2017 18:56,9/1/2017 18:56,Lott Avenue And Ledesma Road in Austin (TX),Stray,Normal,Other,Unknown,1 year,Guinea Pig Mix,Calico
A757394,,9/1/2017 18:56,9/1/2017 18:56,Lott Avenue And Ledesma Road in Austin (TX),Stray,Normal,Other,Unknown,1 year,Guinea Pig Mix,Calico
A757396,,9/1/2017 19:04,9/1/2017 19:04,Quail Creek Park in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Chihuahua Longhair Mix,Black/Tan
A733594,Bruce Lee,9/2/2017 7:39,9/2/2017 7:39,Airport Blvd And Levander Loop in Austin (TX),Stray,Normal,Dog,Unknown,2 years,Pit Bull,Chocolate/White
A757397,Boyd,9/2/2017 8:21,9/2/2017 8:21,14205 Rosseau Street in Travis (TX),Stray,Normal,Dog,Intact Male,1 year,Labrador Retriever Mix,Black/White
A757398,,9/2/2017 9:03,9/2/2017 9:03,Austin (TX),Stray,Nursing,Cat,Unknown,4 weeks,Domestic Shorthair Mix,White
A738451,Niessa,9/2/2017 9:21,9/2/2017 9:21,10100 South Ih 35 in Austin (TX),Public Assist,Normal,Dog,Intact Female,1 year,Pit Bull Mix,Blue/White
A757399,Besame,9/2/2017 9:34,9/2/2017 9:34,12221 North Mopac in Austin (TX),Public Assist,Normal,Dog,Spayed Female,3 years,Maltese Mix,White
A757400,*Bjorn,9/2/2017 10:14,9/2/2017 10:14,7005 Ten Oaks in Austin (TX),Stray,Injured,Cat,Intact Male,2 years,Domestic Shorthair Mix,Orange Tabby/White
A757418,Raider,9/2/2017 10:40,9/2/2017 10:40,183 And 1327 in Austin (TX),Stray,Normal,Dog,Intact Male,2 months,Labrador Retriever Mix,Black
A757419,Bailey,9/2/2017 10:40,9/2/2017 10:40,183 And 1327 in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,Labrador Retriever Mix,Black/Gray
A757417,,9/2/2017 10:40,9/2/2017 10:40,183 And 1327 in Austin (TX),Stray,Normal,Dog,Intact Male,2 months,Labrador Retriever Mix,Black
A757401,,9/2/2017 10:40,9/2/2017 10:40,183 And 1327 in Austin (TX),Stray,Normal,Dog,Intact Male,2 months,Labrador Retriever Mix,Black/White
A755922,Jax,9/2/2017 10:59,9/2/2017 10:59,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Australian Cattle Dog Mix,Black
A757404,,9/2/2017 11:02,9/2/2017 11:02,12151 North Interstate 35 in Austin (TX),Stray,Normal,Cat,Intact Male,2 years,Domestic Shorthair Mix,Orange
A757403,,9/2/2017 11:02,9/2/2017 11:02,12151 North Interstate 35 in Austin (TX),Stray,Normal,Cat,Intact Male,2 years,Domestic Shorthair Mix,Orange
A757407,*Ciprolina,9/2/2017 11:02,9/2/2017 11:02,12151 Interstate 35 in Austin (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Cream Tabby
A757402,*Archie,9/2/2017 11:05,9/2/2017 11:05,1800 East Stassney in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Labrador Retriever Mix,White/Brown
A668841,Wyatt,9/2/2017 11:07,9/2/2017 11:07,Manchaca And Whitestone in Austin (TX),Stray,Normal,Dog,Intact Male,9 years,Miniature Poodle Mix,White
A757406,Walter,9/2/2017 11:16,9/2/2017 11:16,6200 Loyola Drive in Austin (TX),Stray,Normal,Dog,Intact Male,2 months,Staffordshire Mix,Blue/White
A757405,,9/2/2017 11:16,9/2/2017 11:16,6200 Loyola Drive in Austin (TX),Stray,Normal,Dog,Intact Female,4 months,Staffordshire Mix,Blue/White
A757408,*Nick,9/2/2017 11:30,9/2/2017 11:30,2102 East Second Street in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Labrador Retriever Mix,Black/White
A757410,Roxie,9/2/2017 11:41,9/2/2017 11:41,2901 S Capital Of Texas Hwy in Austin (TX),Stray,Normal,Dog,Intact Female,5 years,Border Collie Mix,Black/Brown
A757411,Eli,9/2/2017 11:42,9/2/2017 11:42,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,9 years,Domestic Shorthair Mix,Brown Tabby
A757413,Johnny Walke,9/2/2017 11:42,9/2/2017 11:42,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,3 years,Domestic Medium Hair Mix,Blue Tabby/White
A757414,Frizzy,9/2/2017 11:42,9/2/2017 11:42,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Brown Tabby
A757409,Bentley,9/2/2017 11:42,9/2/2017 11:42,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,8 years,Siamese Mix,Flame Point
A757412,Kenny Rogers,9/2/2017 11:42,9/2/2017 11:42,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Brown Tabby/White
A757415,,9/2/2017 11:52,9/2/2017 11:52,5200 Waterbrook in Austin (TX),Stray,Injured,Cat,Intact Female,6 months,Domestic Shorthair Mix,Blue Tabby
A757416,Aida,9/2/2017 12:10,9/2/2017 12:10,2501 Anken in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,American Staffordshire Terrier Mix,Black/White
A757420,,9/2/2017 12:24,9/2/2017 12:24,917 North Lamar in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,White/Brown Tabby
A652331,Sinatra,9/2/2017 12:39,9/2/2017 12:39,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,7 years,Siamese Mix,Seal Point
A757422,Sunshine,9/2/2017 12:39,9/2/2017 12:39,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Orange
A757421,Rihanna,9/2/2017 12:41,9/2/2017 12:41,5200 Bolm Rd in Austin (TX),Stray,Normal,Dog,Intact Female,3 years,Chihuahua Shorthair Mix,Brown
A757423,90,9/2/2017 12:54,9/2/2017 12:54,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Female,2 years,Pit Bull Mix,Fawn
A757425,100,9/2/2017 13:03,9/2/2017 13:03,Outside Jurisdiction,Public Assist,Normal,Dog,Neutered Male,2 years,Chinese Sharpei Mix,Tan
A757065,Ruca,9/2/2017 13:12,9/2/2017 13:12,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Calico
A757426,99,9/2/2017 13:15,9/2/2017 13:15,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Female,1 year,Labrador Retriever Mix,Tan
A757429,,9/2/2017 13:23,9/2/2017 13:23,9010 Collinfield in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Labrador Retriever Mix,Black
A757430,84,9/2/2017 13:25,9/2/2017 13:25,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Female,2 years,Pit Bull Mix,Gray
A757431,,9/2/2017 13:37,9/2/2017 13:37,Austin (TX),Stray,Normal,Cat,Unknown,1 week,Domestic Shorthair Mix,Black/White
A757434,Spyke,9/2/2017 13:39,9/2/2017 13:39,2405 Audubon Place in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Labrador Retriever Mix,Gold
A757433,Willow,9/2/2017 13:39,9/2/2017 13:39,2405 Audubon Place in Austin (TX),Stray,Normal,Dog,Spayed Female,2 years,Labrador Retriever Mix,Gold
A757437,83,9/2/2017 13:47,9/2/2017 13:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Female,1 year,Boxer Mix,Brown/White
A757442,*Emma,9/2/2017 13:50,9/2/2017 13:50,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,3 months,Domestic Shorthair Mix,Blue
A757139,Zay,9/2/2017 13:50,9/2/2017 13:50,5606 Purple Sage Dr #B in Austin (TX),Public Assist,Normal,Dog,Intact Male,1 year,German Shepherd Mix,Black Brindle
A757440,82,9/2/2017 13:53,9/2/2017 13:53,Outside Jurisdiction,Public Assist,Normal,Dog,Neutered Male,6 years,Pit Bull Mix,Black/White
A757441,,9/2/2017 14:01,9/2/2017 14:01,Wilks And Meador Avenue in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Brown
