Address,Latitude,Longitude,Pet at Home,Animal Type,Vet Count,Intakes within Radius
"7501 Us 290,Austin,TX",30.2285221,-97.88076819999999,True,Dog,5.0,27.0
"301 W 38Th,Austin,TX",30.3011749,-97.7356029,True,Dog,21.0,36.0
"2113 Boyds Way,Austin,TX",30.1607989,-97.83502539999999,True,Dog,6.0,29.0
"2404 Marcus Abrams Blvd,Austin,TX",30.15360699999999,-97.84086359999999,True,Dog,3.0,26.0
"312 Saxon,Austin,TX",30.2394284,-97.69046519999999,True,Dog,1.0,55.0
"3612 Claburn Dr,Austin,TX",30.3736913,-97.7438282,True,Cat,15.0,25.0
"416 Baldridge,Austin,TX",30.1786956,-97.79218519999999,True,Cat,4.0,39.0
"12405 St Mary Dr,Travis,TX",30.3420177,-97.53077940000001,True,Dog,1.0,10.0
"14951 Swiss Dr,Travis,TX",30.1266243,-97.6138629,True,Dog,0.0,9.0
"2124 Burton Dr,Austin,TX",30.2319111,-97.73390429999999,True,Cat,2.0,100.0
"3200 Northeast Dr,Austin,TX",30.3101869,-97.6723356,True,Dog,2.0,59.0
"2301 Coronado,Austin,TX",30.262244,-97.7153843,True,Dog,2.0,77.0
"501 Havana Street,Austin,TX",30.232864,-97.76322929999999,True,Dog,23.0,57.0
"1633 Royal Crest Dr,Austin,TX",30.2389724,-97.73013949999999,True,Dog,4.0,110.0
"15107 Mimebark Way,Austin,TX",30.25587579999999,-97.57920039999999,True,Dog,0.0,21.0
"2811 La Frontera Blvd,Austin,TX",30.4776787,-97.68380309999999,True,Cat,8.0,9.0
"1901 Onion Creek,Austin,TX",30.1366365,-97.7994509,True,Cat,1.0,11.0
"1009 Vasquez St,Austin,TX",30.2310919,-97.6934102,True,Cat,1.0,73.0
"1009 Vasquez,Austin,TX",30.2310919,-97.6934102,True,Cat,1.0,73.0
"11409 Pickard Ln,Austin,TX",30.1560944,-97.83861809999999,True,Dog,4.0,26.0
"11802-A Tanglebriar Trl,Austin,TX",30.4574508,-97.8214843,True,Dog,8.0,12.0
"4602 Molera Dr,Austin,TX",30.2076794,-97.8529028,True,Dog,11.0,20.0
"200 Jacky St,Austin,TX",30.1703552,-97.7925961,True,Dog,3.0,30.0
"1212 Perez,Austin,TX",30.2791833,-97.6921925,True,Dog,0.0,87.0
"8616 Costal Dr,Austin,TX",30.2004575,-97.8470279,True,Dog,10.0,21.0
"2312 Peppertree Ct,Austin,TX",30.1946964,-97.7513333,True,Dog,2.0,98.0
"12113 Metric Blvd,Austin,TX",30.4038137,-97.6983965,True,Cat,17.0,43.0
"2336 Douglas St,Austin,TX",30.2282755,-97.73299879999999,True,Dog,2.0,96.0
"2006 Haskell St,Austin,TX",30.2521175,-97.7247529,True,Dog,2.0,82.0
"9011 Sawtooth Ln,Austin,TX",30.4515245,-97.777829,True,Dog,7.0,31.0
"1003 Woodland Village Dr,Austin,TX",30.4522996,-97.79637969999999,True,Dog,11.0,33.0
"6600 Ed Bluestein Blvd,Austin,TX",30.3057946,-97.66268529999999,True,Dog,0.0,53.0
"9516 Teasdale Ter,Austin,TX",30.35634289999999,-97.68000789999999,True,Dog,1.0,53.0
"5502 Darlington Ln,Austin,TX",30.3016667,-97.6814225,True,Dog,2.0,57.0
"6804 Old Lockhart Rd,Travis,TX",30.0733276,-97.72125299999999,True,Cat,1.0,7.0
"3101 West Terrace Drive,Austin,TX",30.3452557,-97.74882819999999,True,Dog,19.0,25.0
"14106 Lazyridge Dr,Travis,TX",30.411006,-97.63035339999999,True,Dog,0.0,17.0
"11218 Bluff Bend Dr,Austin,TX",30.3751016,-97.6730218,True,Dog,1.0,29.0
"5220 N Fm 973,Austin,TX",30.2639272,-97.60815099999999,True,Dog,0.0,7.0
"6103 Conti #A,Austin,TX",30.1667769,-97.7453993,True,Dog,1.0,46.0
"3101 West Terrace Dr,Austin,TX",30.3452557,-97.74882819999999,True,Cat,19.0,25.0
"13204 Amarillo Ave,Austin,TX",30.4472196,-97.7503713,True,Cat,7.0,12.0
"7209 Barnsdale,Austin,TX",30.1921881,-97.7930068,True,Dog,3.0,52.0
"Euth At Vet,Austin,TX",30.2546482,-97.73886680000001,True,Dog,4.0,81.0
"9816 Bundoran,Austin,TX",30.5024048,-97.76188599999999,True,Cat,2.0,3.0
"12904 James Madison St,Austin,TX",30.3538868,-97.5200407,True,Dog,0.0,17.0
"803 Tirado Street,Austin,TX",30.3233377,-97.7094766,True,Cat,7.0,50.0
"306 E Powell Ln,Austin,TX",30.3465944,-97.70050719999999,True,Dog,6.0,83.0
"6705 Marble Creek Loop,Austin,TX",30.159495,-97.7385115,True,Dog,0.0,36.0
"3101 W Terrace,Austin,TX",30.3452557,-97.74882819999999,True,Cat,19.0,25.0
"11113 Chatam Berry,Austin,TX",30.1587375,-97.84330969999999,True,Cat,5.0,23.0
"4434 Frontier Trail,Austin,TX",30.2314364,-97.7957763,True,Cat,46.0,34.0
"11509 Guernsey Dr,Austin,TX",30.3899612,-97.6974335,True,Cat,15.0,40.0
"12103 Tweed Ct,Austin,TX",30.425909,-97.748499,True,Cat,18.0,29.0
"3101 West Terrace,Austin,TX",30.3452557,-97.74882819999999,True,Cat,19.0,25.0
"12707 Pond Woods Rd,Austin,TX",30.4573196,-97.78973309999999,True,Cat,11.0,33.0
"12034 Research,Austin,TX",30.4253743,-97.7528821,True,Cat,18.0,26.0
"7201 Levander Loop,Austin,TX",30.2527847,-97.6904186,True,Cat,1.0,41.0
"422 Riverside,Austin,TX",30.259674,-97.748756,True,Cat,11.0,84.0
"905 Bed Ford,Austin,TX",30.2717027,-97.7076749,True,Cat,2.0,80.0
"14701 Branding Iron Pass,Travis,TX",30.37328519999999,-97.93217480000001,True,Dog,3.0,5.0
"212 Pedernales #103,Austin,TX",30.2558105,-97.7161952,True,Dog,2.0,69.0
"4710 Broadhill,Austin,TX",30.2884242,-97.6754545,True,Dog,0.0,52.0
